Designator,Mid X,Mid Y,Layer,Rotation
C1,148.5000,-167.0000,Top,0.0000
C2,157.5000,-167.0000,Top,0.0000
C3,157.5000,-169.8000,Top,0.0000
C4,143.5000,-167.0000,Top,0.0000
C5,143.5000,-169.8000,Top,0.0000
C6,150.0000,-159.2000,Top,0.0000
C7,154.2000,-159.2000,Top,0.0000
C8,143.0000,-146.8000,Top,0.0000
C9,166.5000,-167.0000,Top,0.0000
CB1,187.8319,-124.7216,Top,33.7500
CB2,124.7216,-112.1681,Top,123.7500
CB3,112.1681,-175.2784,Top,213.7500
CB4,175.2784,-187.8319,Top,303.7500
CM1,198.7498,-152.2137,Top,180.0000
CM10,104.1139,-166.6105,Top,22.5000
CM11,113.9634,-182.9060,Top,45.0000
CM12,129.2991,-194.1918,Top,67.5000
CM13,147.7863,-198.7498,Top,90.0000
CM14,166.6105,-195.8861,Top,112.5000
CM15,182.9060,-186.0366,Top,135.0000
CM16,194.1918,-170.7009,Top,157.5000
CM2,195.8861,-133.3895,Top,202.5000
CM3,186.0366,-117.0940,Top,225.0000
CM4,170.7009,-105.8082,Top,247.5000
CM5,152.2137,-101.2502,Top,270.0000
CM6,133.3895,-104.1139,Top,292.5000
CM7,117.0940,-113.9634,Top,315.0000
CM8,105.8082,-129.2991,Top,337.5000
CM9,101.2502,-147.7863,Top,0.0000
D1,136.5000,-167.0000,Top,180.0000
F1,129.0000,-167.0000,Top,0.0000
FB1,162.5000,-167.0000,Top,0.0000
MK1,203.2200,-150.0000,Top,270.0000
MK10,100.8311,-170.3664,Top,112.5000
MK11,112.3678,-187.6322,Top,135.0000
MK12,129.6336,-199.1689,Top,157.5000
MK13,150.0000,-203.2200,Top,180.0000
MK14,170.3664,-199.1689,Top,202.5000
MK15,187.6322,-187.6322,Top,225.0000
MK16,199.1689,-170.3664,Top,247.5000
MK2,199.1689,-129.6336,Top,292.5000
MK3,187.6322,-112.3678,Top,315.0000
MK4,170.3664,-100.8311,Top,337.5000
MK5,150.0000,-96.7800,Top,0.0000
MK6,129.6336,-100.8311,Top,22.5000
MK7,112.3678,-112.3678,Top,45.0000
MK8,100.8311,-129.6336,Top,67.5000
MK9,96.7800,-150.0000,Top,90.0000
R1,148.0000,-143.0000,Top,0.0000
R2,142.5000,-151.0000,Top,0.0000
RC1,158.0000,-148.5000,Top,0.0000
RC2,158.0000,-146.0000,Top,0.0000
RC3,138.5000,-146.0000,Top,0.0000
RC4,138.5000,-148.5000,Top,0.0000
RC5,138.5000,-151.0000,Top,0.0000
RC6,138.5000,-153.5000,Top,0.0000
RC7,158.0000,-153.5000,Top,0.0000
RC8,158.0000,-151.0000,Top,0.0000
RD1,195.0000,-150.0000,Top,180.0000
RD10,108.4254,-167.2208,Top,22.5000
RD11,118.1802,-181.8198,Top,45.0000
RD12,132.7792,-191.5746,Top,67.5000
RD13,150.0000,-195.0000,Top,90.0000
RD14,167.2208,-191.5746,Top,112.5000
RD15,181.8198,-181.8198,Top,135.0000
RD16,191.5746,-167.2208,Top,157.5000
RD2,191.5746,-132.7792,Top,202.5000
RD3,181.8198,-118.1802,Top,225.0000
RD4,167.2208,-108.4254,Top,247.5000
RD5,150.0000,-105.0000,Top,270.0000
RD6,132.7792,-108.4254,Top,292.5000
RD7,118.1802,-118.1802,Top,315.0000
RD8,108.4254,-132.7792,Top,337.5000
RD9,105.0000,-150.0000,Top,0.0000
RH1,136.5000,-172.3000,Top,90.0000
RH2,139.1000,-172.3000,Top,90.0000
RH3,141.7000,-172.3000,Top,90.0000
RH4,144.3000,-172.3000,Top,90.0000
RH5,146.9000,-172.3000,Top,90.0000
RH6,149.5000,-172.3000,Top,90.0000
RH7,152.1000,-172.3000,Top,90.0000
RH8,154.7000,-172.3000,Top,90.0000
RV1,198.5146,-155.2704,Top,0.0000
RV10,103.1615,-163.6965,Top,202.5000
RV11,111.9683,-180.5783,Top,225.0000
RV12,126.5651,-192.8047,Top,247.5000
RV13,144.7296,-198.5146,Top,270.0000
RV14,163.6965,-196.8385,Top,292.5000
RV15,180.5783,-188.0317,Top,315.0000
RV16,192.8047,-173.4349,Top,337.5000
RV2,196.8385,-136.3035,Top,22.5000
RV3,188.0317,-119.4217,Top,45.0000
RV4,173.4349,-107.1953,Top,67.5000
RV5,155.2704,-101.4854,Top,90.0000
RV6,136.3035,-103.1615,Top,112.5000
RV7,119.4217,-111.9683,Top,135.0000
RV8,107.1953,-126.5651,Top,157.5000
RV9,101.4854,-144.7296,Top,180.0000
U1,153.0000,-167.0000,Top,0.0000
U2,150.0000,-153.0000,Top,0.0000
U3,140.5000,-175.8000,Top,0.0000
U4,149.0000,-175.8000,Top,0.0000
X1,143.0000,-143.0000,Top,0.0000
